Model,Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
LinearSVM,0.49,0.7697368421052632,0.6671455938697317,0.8403361344537815,0.8620689655172413,0.851063829787234
LinearSVM,0.5,0.7631578947368421,0.6628352490421456,0.8389830508474576,0.853448275862069,0.8461538461538461
LinearSVM,0.51,0.7631578947368421,0.6628352490421456,0.8389830508474576,0.853448275862069,0.8461538461538461
LinearSVM,0.52,0.7631578947368421,0.6628352490421456,0.8389830508474576,0.853448275862069,0.8461538461538461
LinearSVM,0.53,0.7631578947368421,0.6628352490421456,0.8389830508474576,0.853448275862069,0.8461538461538461
LinearSVM,0.54,0.756578947368421,0.6585249042145593,0.8376068376068376,0.8448275862068966,0.8412017167381974
LinearSVM,0.55,0.756578947368421,0.6585249042145593,0.8376068376068376,0.8448275862068966,0.8412017167381974
LinearSVM,0.56,0.75,0.6542145593869731,0.8362068965517241,0.8362068965517241,0.8362068965517241
LinearSVM,0.5700000000000001,0.75,0.6542145593869731,0.8362068965517241,0.8362068965517241,0.8362068965517241
LinearSVM,0.5800000000000001,0.75,0.6542145593869731,0.8362068965517241,0.8362068965517241,0.8362068965517241
LinearSVM,0.59,0.7368421052631579,0.6455938697318008,0.8333333333333334,0.8189655172413793,0.8260869565217391
LinearSVM,0.6,0.7368421052631579,0.6455938697318008,0.8333333333333334,0.8189655172413793,0.8260869565217391
LinearSVM,0.61,0.7368421052631579,0.6455938697318008,0.8333333333333334,0.8189655172413793,0.8260869565217391
LinearSVM,0.62,0.7368421052631579,0.6455938697318008,0.8333333333333334,0.8189655172413793,0.8260869565217391
LinearSVM,0.63,0.7368421052631579,0.6455938697318008,0.8333333333333334,0.8189655172413793,0.8260869565217391
LinearSVM,0.64,0.7302631578947368,0.6412835249042146,0.831858407079646,0.8103448275862069,0.8209606986899564
LinearSVM,0.65,0.7236842105263158,0.6369731800766283,0.8303571428571429,0.8017241379310345,0.8157894736842105
LinearSVM,0.66,0.7236842105263158,0.6369731800766283,0.8303571428571429,0.8017241379310345,0.8157894736842105
LinearSVM,0.67,0.7171052631578947,0.6326628352490422,0.8288288288288288,0.7931034482758621,0.8105726872246696
LinearSVM,0.68,0.7039473684210527,0.6240421455938697,0.8256880733944955,0.7758620689655172,0.8
LinearSVM,0.6900000000000001,0.6973684210526315,0.6197318007662835,0.8240740740740741,0.7672413793103449,0.7946428571428571
LinearSVM,0.7000000000000001,0.6907894736842105,0.6154214559386972,0.822429906542056,0.7586206896551724,0.7892376681614349
LinearSVM,0.7100000000000001,0.6907894736842105,0.625,0.8285714285714286,0.75,0.7873303167420814
LinearSVM,0.72,0.6973684210526315,0.6388888888888888,0.8365384615384616,0.75,0.7909090909090909
