Threshold,Accuracy,Balanced_Acc,Precision,Recall,F1
0.5,0.8092105263157895,0.6738505747126436,0.8372093023255814,0.9310344827586207,0.8816326530612245
0.51,0.8092105263157895,0.6930076628352491,0.848,0.9137931034482759,0.8796680497925311
0.52,0.8223684210526315,0.7207854406130269,0.8617886178861789,0.9137931034482759,0.8870292887029289
0.53,0.8223684210526315,0.7303639846743295,0.8677685950413223,0.9051724137931034,0.8860759493670886
0.54,0.8092105263157895,0.7217432950191571,0.865546218487395,0.8879310344827587,0.8765957446808511
0.55,0.8026315789473685,0.7270114942528736,0.8706896551724138,0.8706896551724138,0.8706896551724138
0.56,0.7960526315789473,0.7227011494252873,0.8695652173913043,0.8620689655172413,0.8658008658008658
0.5700000000000001,0.7894736842105263,0.7183908045977012,0.868421052631579,0.853448275862069,0.8608695652173913
0.5800000000000001,0.7763157894736842,0.7193486590038314,0.8727272727272727,0.8275862068965517,0.8495575221238938
0.59,0.75,0.7021072796934866,0.8679245283018868,0.7931034482758621,0.8288288288288288
0.6,0.743421052631579,0.6977969348659003,0.8666666666666667,0.7844827586206896,0.8235294117647058
0.61,0.743421052631579,0.6977969348659003,0.8666666666666667,0.7844827586206896,0.8235294117647058
0.62,0.7302631578947368,0.6987547892720306,0.8712871287128713,0.7586206896551724,0.8110599078341014
0.63,0.7236842105263158,0.7040229885057472,0.8775510204081632,0.7413793103448276,0.8037383177570093
0.64,0.7039473684210527,0.6910919540229885,0.8736842105263158,0.7155172413793104,0.7867298578199052
0.65,0.6907894736842105,0.6824712643678161,0.8709677419354839,0.6982758620689655,0.7751196172248804
0.66,0.6776315789473685,0.6738505747126436,0.8681318681318682,0.6810344827586207,0.7632850241545893
0.67,0.6776315789473685,0.6738505747126436,0.8681318681318682,0.6810344827586207,0.7632850241545893
0.68,0.6513157894736842,0.6566091954022988,0.8620689655172413,0.646551724137931,0.7389162561576355
0.6900000000000001,0.631578947368421,0.6436781609195402,0.8571428571428571,0.6206896551724138,0.72
0.7000000000000001,0.6118421052631579,0.6307471264367817,0.8518518518518519,0.5948275862068966,0.700507614213198
0.7100000000000001,0.5921052631578947,0.617816091954023,0.8461538461538461,0.5689655172413793,0.6804123711340206
0.72,0.5723684210526315,0.6048850574712643,0.84,0.5431034482758621,0.6596858638743456
0.73,0.5592105263157895,0.5962643678160919,0.8356164383561644,0.5258620689655172,0.6455026455026455
0.74,0.5592105263157895,0.5962643678160919,0.8356164383561644,0.5258620689655172,0.6455026455026455
0.75,0.5394736842105263,0.5833333333333333,0.8285714285714286,0.5,0.6236559139784946
0.76,0.5263157894736842,0.5747126436781609,0.8235294117647058,0.4827586206896552,0.6086956521739131
0.77,0.5197368421052632,0.5704022988505747,0.8208955223880597,0.47413793103448276,0.6010928961748634
0.78,0.5131578947368421,0.5660919540229885,0.8181818181818182,0.46551724137931033,0.5934065934065934
0.79,0.506578947368421,0.5617816091954023,0.8153846153846154,0.45689655172413796,0.585635359116022
0.8,0.506578947368421,0.5617816091954023,0.8153846153846154,0.45689655172413796,0.585635359116022
