mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__solver,param_mlp__learning_rate_init,param_mlp__hidden_layer_sizes,param_mlp__batch_size,param_mlp__alpha,param_mlp__activation,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.10138328870137532,0.013673501857684425,0.004228512446085612,0.0059800196499177035,adam,0.0001,"(32,)",8,0.0004281332398719391,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0001), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 8, 'mlp__alpha': np.float64(0.0004281332398719391), 'mlp__activation': 'relu'}",0.8387096774193549,0.7804878048780488,0.9333333333333333,0.8508436052102457,0.06298604631143691,12
0.08411749203999837,0.0007158452183333,0.005277077356974284,0.007462914367924999,adam,0.0006951927961775605,"(128,)",16,6.951927961775606e-05,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0006951927961775605), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(6.951927961775606e-05), 'mlp__activation': 'tanh'}",0.7297297297297297,0.8125,0.8705882352941177,0.8042726550079492,0.057798769027675355,69
0.05913154284159342,0.009638893388495644,0.008400599161783854,0.006941098701995506,adam,0.01,"(128,)",32,0.0014384498882876629,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.01), 'mlp__hidden_layer_sizes': (128,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.0014384498882876629), 'mlp__activation': 'tanh'}",0.8292682926829268,0.8493150684931506,0.8292682926829268,0.8359505512863348,0.009450140744223819,24
0.07779741287231445,0.001980429951267062,0.007853269577026367,0.005590530153794751,adam,0.0008858667904100823,"(64, 32)",64,0.0004281332398719391,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0008858667904100823), 'mlp__hidden_layer_sizes': (64, 32), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.0004281332398719391), 'mlp__activation': 'tanh'}",0.8395061728395061,0.7333333333333333,0.684931506849315,0.7525903376740515,0.06455724076935453,97
0.07847483952840169,0.005902852426267388,0.002331415812174479,0.002051459686596295,adam,0.004832930238571752,"(128, 64)",64,0.00023357214690901214,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.004832930238571752), 'mlp__hidden_layer_sizes': (128, 64), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.00023357214690901214), 'mlp__activation': 'relu'}",0.7532467532467533,0.8571428571428571,0.9333333333333333,0.847907647907648,0.07380948854555049,15
0.0607906182607015,0.012808049212209177,0.0038177172342936196,0.0002452029963531234,adam,0.00042813323987193956,"(32,)",32,0.0026366508987303583,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.00042813323987193956), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.0026366508987303583), 'mlp__activation': 'relu'}",0.7294117647058823,0.7804878048780488,0.9333333333333333,0.8144109676390882,0.08663751022374404,54
0.05551807085673014,0.012007812971496164,0.006109476089477539,0.004385142003597666,adam,0.0001623776739188721,"(32, 16)",32,0.00023357214690901214,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0001623776739188721), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__batch_size': 32, 'mlp__alpha': np.float64(0.00023357214690901214), 'mlp__activation': 'tanh'}",0.684931506849315,0.8484848484848485,0.8571428571428571,0.7968530708256735,0.07921939005347164,75
0.04942893981933594,0.013233056184461594,0.0010318756103515625,0.001459292482841195,adam,0.002335721469090121,"(32, 16)",64,0.029763514416313194,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.002335721469090121), 'mlp__hidden_layer_sizes': (32, 16), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.029763514416313194), 'mlp__activation': 'tanh'}",0.684931506849315,0.8484848484848485,0.8705882352941177,0.8013348635427603,0.08280276168597338,71
0.04197422663370768,0.020507073063049587,0.00661468505859375,0.007332150327443909,adam,0.0014384498882876629,"(32,)",64,0.00012742749857031334,tanh,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.0014384498882876629), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 64, 'mlp__alpha': np.float64(0.00012742749857031334), 'mlp__activation': 'tanh'}",0.7441860465116279,0.8857142857142857,0.9230769230769231,0.850992418434279,0.07704843706021439,11
0.0876607894897461,0.011951069086648303,0.0023168722788492837,0.0016770798551838538,adam,0.000545559478116852,"(32,)",16,1.1288378916846883e-05,relu,"{'mlp__solver': 'adam', 'mlp__learning_rate_init': np.float64(0.000545559478116852), 'mlp__hidden_layer_sizes': (32,), 'mlp__batch_size': 16, 'mlp__alpha': np.float64(1.1288378916846883e-05), 'mlp__activation': 'relu'}",0.7294117647058823,0.8311688311688312,0.9333333333333333,0.8313046430693488,0.0832506871704344,32
